Gun,Might,Vehicle,Onslaught
Gun,Vehicle,Wind,Onslaught
Might,Potent,Vast,Onslaught
Growth,Might,Zeal,Onslaught
Adept,Might,Potent,Onslaught
Might,Potent,Swift,Onslaught
Hand,Might,Swift,Onslaught
Adept,Might,Swift,Onslaught
Fire,Gun,Vehicle,Onslaught
Gun,Might,Potent,Onslaught
Myriad,Vast,Visage,Phantasmagoria
Fire,Renewal,Wing,Phoenix
Bow,Dark,Hunt,Predatory
Bow,Hunt,Trap,Predatory
Spear,Spider,Wing,Predatory
Bow,Spider,Trap,Predatory
Chain,Iron,Myriad,Prison
Shield,Trap,Vast,Prison
Cage,Rune,Trap,Prison
Cage,Lightning,Myriad,Prison
Gathering,Iron,Might,Prison
Feast,Foot,Rabbit,Prosperity
Balance,Renewal,Rune,Prosperity
Magic,Rune,Vast,Prosperity
Growth,Omen,Sun,Prosperity
Growth,Renewal,Shield,Prosperity
Adept,Balance,Renewal,Prosperity
Balance,Echo,Ice,Refracting
Bird,Needle,Song,Resonating
Crystal,Harmonic,Serene,Resonating
Echo,Swift,Wind,Resonating
Bird,Might,Vast,Roc
Blood,Dimension,Goat,Sacrifice
Hunger,Knife,Sun,Sacrifice
Dimension,Knife,Sin,Sacrifice
Knowledge,Paper,Serene,Scribe
Hand,Paper,Rune,Scribe
Fire,Iron,Snake,Serpent
Fire,Snake,Wind,Serpent
Fire,Snake,Water,Serpent
Paper,Sword,Visage,Simulacrum
Adept,Bow,Hunt,Skirmish
Moon,Star,Sun,Sky
Star,Sun,Vast,Sky
Cloud,Swift,Wind,Sky
Swift,Vehicle,Wind,Soaring
Bird,Swift,Wind,Soaring
Ship,Water,Wind,Soaring
Flesh,Magic,Thread,Sovereign
Dark,Sin,Water,Sovereign
Adept,Potent,Sceptre,Sovereign
Adept,Balance,Potent,Sovereign
Dark,Star,Sun,Stellar
Lightning,Potent,Wind,Storm
Deep,Vast,Wind,Storm
Fire,Potent,Wind,Storm
Lightning,Magic,Wind,Storm
Cloud,Crystal,Wind,Storm
Dust,Ice,Wind,Storm
Hammer,Lightning,Rune,Storm
Fire,Gun,Lightning,Storm
Sand,Vast,Wind,Storm
Earth,Fire,Wind,Storm
Flesh,Sin,Visage,Succubus
Hunger,Magic,Sin,Succubus
Bat,Rabbit,Rat,Swarm
Dark,Fire,Rat,Swarm
Fire,Venom,Wasp,Swarm
Potent,Venom,Wasp,Swarm
Duck,Flea,Foot,Swarm
Blood,Myriad,Wing,Swarm
Magic,Paper,Rune,Talisman
Bird,Lightning,Vast,Thunderbird
Dimension,Vast,Void,Time
Balance,Dimension,Swift,Time
Balance,Moon,Water,Tranquil
Corrupt,Death,Serene,Tranquil
Serene,Tree,Vast,Tranquil
Deer,Earth,Hammer,Transfiguration
Bear,Growth,Hand,Transfiguration
Adept,Elemental,Magic,Transfiguration
Balance,Earth,Iron,Transfiguration
Flesh,Growth,Water,Transfiguration
Bird,Mouse,Whale,Transfiguration
Hunt,Moon,Wolf,Transfiguration
Blood,Fire,Iron,Transfiguration
Axe,Bear,Moon,Transfiguration
Hunger,Moon,Wolf,Transfiguration
Balance,Fire,Ice,Transfiguration
Death,Dimension,Magic,Transgression
Blood,Might,Renewal,Troll
Moon,Omen,Wind,Twilight
Dark,Light,Moon,Twilight
Corrupt,Dance,Flesh,Undeath
Death,Magic,Sand,Undeath
Blood,Death,Spider,Undeath
Bone,Corrupt,Dance,Undeath
Blood,Death,Duck,Undeath
Death,Flesh,Hunger,Undeath
Blood,Death,Wolf,Undeath
Blood,Death,Snake,Undeath
Blood,Death,Hunger,Undeath
Bone,Corrupt,Flesh,Undeath
Bat,Blood,Death,Undeath
Blood,Death,Visage,Undeath
Blood,Corrupt,Dark,Undeath
Blood,Bone,Corrupt,Undeath
Blood,Dark,Death,Undeath
Blood,Death,Sin,Undeath
Blood,Death,Moon,Undeath
Blood,Death,Hunt,Undeath
Mirror,Myriad,Technology,Unity
Earth,Plant,Vast,Verdant
Earth,Shovel,Water,Verdant
Earth,Plant,Rake,Verdant
Duck,Iron,Vast,Vessel
Balance,Blood,Hunger,Vessel
Balance,Life,Needle,Vessel
Technology,Vehicle,Wind,Vessel
Knowledge,Technology,Vast,Vessel
Cloud,Growth,Vehicle,Vessel
Iron,Sin,Wind,Vessel
Gathering,Magic,Star,Vessel
Death,Vehicle,Water,Vessel
Rat,Swift,Water,Vessel
Dimension,Vast,Vehicle,Vessel
Balance,Blood,Crystal,Vessel
Duck,Iron,Visage,Vessel
Crystal,Magic,Potent,Vessel
Dark,Omen,Serene,Vision
Eye,Magic,Mirror,Vision
Earth,Fire,Potent,Volcano
Earth,Fire,Vast,Volcano
Shark,Water,Wind,Vortex
Trap,Void,Wind,Vortex
Deep,Vast,Void,Vortex
Corrupt,Dimension,Void,Vortex
Dimension,Hunger,Void,Vortex
Feast,Magic,Void,Vortex
Dark,Void,Wind,Vortex
Dance,Needle,Thread,Weave
Harmonic,Myriad,Omen,Weave
Dance,Myriad,Thread,Weave
Flesh,Hunger,Might,Wendigo
Balance,Blood,Might,Wrath
Might,Potent,Zeal,Wrath
Fire,Light,Potent,Wrath
Adept,Fire,Zeal,Wrath
Fire,Light,Zeal,Wrath
Dimension,Light,Potent,Wrath
Balance,Might,Zeal,Wrath
Balance,Potent,Zeal,Wrath
Bird,Vast,Wind,Ziz
